ID1,ID2,EdgeType,Score,Annotation
877,2361,MS1 annotation,8.000,[M+Na]+ [M+Na]+ dm/z=0.0002
915,7679,MS1 annotation,3.500,[M+H]+ [M-H2O+H]+ dm/z=18.0124
952,1000,MS1 annotation,3.500,[M-H2O+Na]+ [M+Na]+ dm/z=18.0108
953,1809,MS1 annotation,4.500,[M+Na]+ [M-H2O+H]+ dm/z=39.9927
953,1992,MS1 annotation,4.500,[2M+H]+ [M-H2O+H]+ dm/z=318.2759
953,955,MS1 annotation,5.000,[M-2H2O+H]+ [M-H2O+H]+ dm/z=18.0105
954,959,MS1 annotation,7.000,[M+Na]+ [M+H]+ dm/z=21.9819
954,1017,MS1 annotation,7.500,[M-2H2O+H]+ [M+H]+ dm/z=36.0213
954,1005,MS1 annotation,7.500,[M-H2O+H]+ [M+H]+ dm/z=18.0108
954,1933,MS1 annotation,7.000,[M+NH4]+ [M+H]+ dm/z=17.0264
954,1687,MS1 annotation,7.500,[2M-H+2Na]+ [M+H]+ dm/z=342.2139
954,1924,MS1 annotation,7.000,[M-H+2Na]+ [M+H]+ dm/z=43.9641
955,1809,MS1 annotation,4.500,[M+Na]+ [M-2H2O+H]+ dm/z=58.0033
955,1992,MS1 annotation,4.500,[2M+H]+ [M-2H2O+H]+ dm/z=336.2864
956,973,MS1 annotation,4.500,[M+Na]+ [M-H2O+H]+ dm/z=39.9931
956,1073,MS1 annotation,5.000,[M-2H2O+H]+ [M-H2O+H]+ dm/z=18.0103
956,1854,MS1 annotation,4.500,[M+H]+ [M-H2O+H]+ dm/z=18.0106
958,1772,MS1 annotation,8.000,[M-H2O+H]+ [M-2H2O+H]+ dm/z=18.0106
958,1624,MS1 annotation,7.500,[2M+H]+ [M-2H2O+H]+ dm/z=428.3107
958,1627,MS1 annotation,7.500,[2M+Na]+ [M-2H2O+H]+ dm/z=450.2934
958,1844,MS1 annotation,7.500,[M+NH4]+ [M-2H2O+H]+ dm/z=53.0474
958,1633,MS1 annotation,7.500,[M+Na]+ [M-2H2O+H]+ dm/z=58.0028
958,1875,MS1 annotation,8.500,[2M-H2O+H]+ [M-2H2O+H]+ dm/z=410.3011
959,1017,MS1 annotation,7.500,[M-2H2O+H]+ [M+Na]+ dm/z=58.0033
959,1005,MS1 annotation,7.500,[M-H2O+H]+ [M+Na]+ dm/z=39.9927
959,1933,MS1 annotation,7.000,[M+NH4]+ [M+Na]+ dm/z=4.9555
959,1687,MS1 annotation,7.500,[2M-H+2Na]+ [M+Na]+ dm/z=320.2320
959,1924,MS1 annotation,7.000,[M-H+2Na]+ [M+Na]+ dm/z=21.9822
961,4693,MS1 annotation,6.000,[M+H]+ [M+Na]+ dm/z=21.9826
961,6788,MS1 annotation,6.000,[M+K]+ [M+Na]+ dm/z=15.9734
961,2007,MS1 annotation,6.000,[M-2H2O+H]+ [M+Na]+ dm/z=58.0033
961,1007,MS1 annotation,6.500,[M-H2O+H]+ [M+Na]+ dm/z=39.9928
961,7126,MS1 annotation,6.500,[2M+Na]+ [M+Na]+ dm/z=382.3092
963,1085,MS1 annotation,3.500,[M-H2O+H]+ [M+Na]+ dm/z=39.9922
963,972,MS1 annotation,3.500,[M-2H2O+H]+ [M+Na]+ dm/z=58.0025
967,1827,MS1 annotation,5.000,[M+Na]+ [M+H]+ dm/z=21.9816
967,11505,MS1 annotation,5.500,[3M+H]+ [M+H]+ dm/z=906.5741
967,7670,MS1 annotation,5.500,[2M+H]+ [M+H]+ dm/z=453.2887
967,1841,MS1 annotation,5.500,[M-H2O+H]+ [M+H]+ dm/z=18.0107
969,3128,MS1 annotation,6.000,[M+HAc+Na]+ [M-H2O+H]+ dm/z=100.0144
969,1091,MS1 annotation,5.500,[M+H]+ [M-H2O+H]+ dm/z=18.0106
969,1034,MS1 annotation,5.500,[M+Na]+ [M-H2O+H]+ dm/z=39.9928
969,1027,MS1 annotation,6.000,[M-2H2O+H]+ [M-H2O+H]+ dm/z=18.0104
970,2643,MS1 annotation,3.000,[M+Na]+ [M+H]+ dm/z=21.9808
970,6247,MS1 annotation,3.500,[2M+Na]+ [M+H]+ dm/z=543.3262
971,1748,MS1 annotation,3.000,[M+Na]+ [M+H]+ dm/z=21.9801
971,10096,MS1 annotation,3.500,[2M+Na]+ [M+H]+ dm/z=616.3169
972,1085,MS1 annotation,4.000,[M-H2O+H]+ [M-2H2O+H]+ dm/z=18.0104
973,1073,MS1 annotation,4.500,[M-2H2O+H]+ [M+Na]+ dm/z=58.0034
973,1854,MS1 annotation,4.000,[M+H]+ [M+Na]+ dm/z=21.9825
974,989,MS1 annotation,3.500,[M+Na]+ [M-H2O+H]+ dm/z=39.9921
974,1699,MS1 annotation,4.000,[M-2H2O+H]+ [M-H2O+H]+ dm/z=18.0103
985,1191,MS1 annotation,5.000,[M+Na]+ [M+H]+ dm/z=21.9819
